stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
100646,"BOSTON RD/E 180 ST",,  40.842561, -73.878332,,,0,
103374,"BRUSH AV/BRUCKNER BL",,  40.828085, -73.841003,,,0,
103375,"CROSS BX SVC RD/ZEREGA AV",,  40.828963, -73.844303,,,0,
103379,"CROSS BX SVC RD/NEWBOLD AV",,  40.832499, -73.856998,,,0,
103380,"CROSS BX SVC RD/TAYLOR AV",,  40.835387, -73.866431,,,0,
103383,"CROSS BX SVC RD/ROSDALE AV",,  40.835569, -73.869690,,,0,
103385,"CROSS BX SVC RD/PUGSLEY AV",,  40.831930, -73.857119,,,0,
103392,"WESTCHESTER AV/VIRGINIA AV",,  40.832922, -73.861742,,,0,
103523,"CROSS BX SVC RD/CASTLE HILL AV",,  40.830076, -73.850820,,,0,
103767,"LAFAYETTE AV/HUTCHINSON RVR PKY",,  40.824949, -73.836972,,,0,
103900,"CROSS BX SVC RD S/BEACH AV",,  40.834919, -73.867288,,,0,
103995,"CROSS BX SVC RD/HAVILAND AV",,  40.830446, -73.850209,,,0,
103996,"E 180 ST/DEVOE AV",,  40.842458, -73.877118,,,0,
104003,"E TREMONT AV/BOSTON RD",,  40.839819, -73.878374,,,0,
104004,"BRUCKNER BL/BRUSH AV",,  40.827862, -73.838930,,,0,
400134,"5 AV/W 44 ST",,  40.754500, -73.980223,,,0,
400135,"5 AV/W 42 ST",,  40.753141, -73.981216,,,0,
400316,"5 AV/W 56 ST",,  40.761999, -73.974749,,,0,
400324,"5 AV/W 33 ST",,  40.747494, -73.985338,,,0,
400327,"5 AV/W 26 ST",,  40.743132, -73.988487,,,0,
400353,"32 ST/MADISON AV",,  40.746555, -73.984226,,,0,
400354,"MADISON AV/E 34 ST",,  40.748328, -73.982437,,,0,
400358,"MADISON AV/E 45 ST",,  40.755233, -73.977403,,,0,
400360,"MADISON AV/E 49 ST",,  40.757755, -73.975576,,,0,
400361,"MADISON AV/E 52 ST",,  40.759636, -73.974182,,,0,
400362,"MADISON AV/E 55  ST",,  40.761140, -73.973144,,,0,
400363,"MADISON AV/E 57 ST",,  40.762858, -73.971838,,,0,
400514,"5 AV/W 52 ST",,  40.759924, -73.976306,,,0,
400515,"5 AV/W 49 ST",,  40.758031, -73.977678,,,0,
400516,"5 AV/W 46 ST",,  40.756156, -73.979047,,,0,
400518,"5 AV/W 41 ST",,  40.753191, -73.981154,,,0,
400519,"5 AV/W 38 ST",,  40.750927, -73.982808,,,0,
400552,"W 32 ST/7 AV",,  40.749062, -73.990139,,,0,
400555,"E 32 ST/5 AV",,  40.746998, -73.985295,,,0,
400561,"MADISON AV/E 42 ST",,  40.753337, -73.978759,,,0,
401840,"E 34 ST/3 AV",,  40.745998, -73.978634,,,0,
401842,"E 34 ST/PARK AV",,  40.747234, -73.981547,,,0,
402130,"E 23 ST/BROADWAY",,  40.741142, -73.988790,,,0,
402133,"E 23 ST/LEXINGTON  AV",,  40.739217, -73.984281,,,0,
402134,"E 23 ST/3 AV",,  40.738589, -73.982755,,,0,
402143,"E 23 ST/1 AV",,  40.737297, -73.979360,,,0,
402146,"E 23 ST/LEXINGTON AV",,  40.739661, -73.984992,,,0,
402212,"E 57 ST/PARK AV",,  40.761368, -73.970287,,,0,
402214,"E 57 ST/LEXINGTON AV",,  40.760727, -73.968725,,,0,
402215,"E 57 ST/3 AV",,  40.759910, -73.966804,,,0,
402224,"E 57 ST/3 AV",,  40.760521, -73.967931,,,0,
402377,"E 59 ST/MADISON AV",,  40.763373, -73.971157,,,0,
402378,"E 59 ST/PARK AV",,  40.762721, -73.969597,,,0,
402379,"E 59 ST/LEXINGTON AV",,  40.762003, -73.967798,,,0,
