route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Q06,MTABC,Q6,"Jamaica - Sutphin Blvd - Jfk Cargo Area","Via Sutphin Blvd / Rockaway Blvd",3,http://web.mta.info/busco/schedules/q006cur.pdf,B933AD,FFFFFF
Q07,MTABC,Q7,"East Ny - Rockaway Blvd - Jfk Cargo Area","Via Rockaway Blvd",3,http://web.mta.info/busco/schedules/q007cur.pdf,6CBE45,FFFFFF
Q08,MTABC,Q8,"Gateway Mall / East Ny - Jamaica","Via 101St Av",3,http://web.mta.info/busco/schedules/q008cur.pdf,B933AD,FFFFFF
Q09,MTABC,Q9,"South Ozone Park - Jamaica","Via Van Wyck Expwy / 135Th St / Lincoln St",3,http://web.mta.info/busco/schedules/q009cur.pdf,B933AD,FFFFFF
Q10,MTABC,Q10,"Kew Gardens - Jfk Airport","Via Lefferts Blvd",3,http://web.mta.info/busco/schedules/q010cur.pdf,FAA61A,FFFFFF
Q11,MTABC,Q11,"Elmhurst / Queens Ctr - Old Howard Bch","Via Woodhaven Blvd",3,http://web.mta.info/busco/schedules/q011cur.pdf,6CBE45,FFFFFF
Q18,MTABC,Q18,"Astoria - Maspeth","Via 30Th Av / 58Th St / 65Th Pl",3,http://web.mta.info/busco/schedules/q018cur.pdf,00AEEF,FFFFFF
Q19,MTABC,Q19,"Astoria - Flushing","Via Astoria Blvd",3,http://web.mta.info/busco/schedules/q019cur.pdf,00AEEF,FFFFFF
Q21,MTABC,Q21,"Elmhurst / Queens Ctr - Howard Beach","Via Woodhaven Blvd / Cross Bay Blvd / Lindenwood",3,http://web.mta.info/busco/schedules/q011cur.pdf,006CB7,FFFFFF
Q22,MTABC,Q22,"Roxbury - Rockaway Pk - Far Rockaway","Via Rockaway Beach Blvd / Beach Channel Dr",3,http://web.mta.info/busco/schedules/q022cur.pdf,EE352E,FFFFFF
Q23,MTABC,Q23,"East Elmhurst - Forest Hills","Via 108Th St",3,http://web.mta.info/busco/schedules/q023cur.pdf,FAA61A,FFFFFF
Q25,MTABC,Q25,"Jamaica - Flushing - College Point","Via Parsons Blvd / Kissena Blvd / 127Th St",3,http://web.mta.info/busco/schedules/q025cur.pdf,00AEEF,FFFFFF
Q29,MTABC,Q29,"Jackson Heights - Glendale","Via Dry Harbor Rd / 80Th St",3,http://web.mta.info/busco/schedules/q029cur.pdf,00AEEF,FFFFFF
Q33,MTABC,Q33,"Jackson Heights - East Elmhurst","Via Roosevelt Av / 82Nd & 83Rd Sts / 23Rd Av",3,http://web.mta.info/busco/schedules/q033cur.pdf,EE352E,FFFFFF
Q34,MTABC,Q34,"Jamaica - Flushing - Whitestone","Via Parsons Blvd / Kissena Blvd / Mitchell Gardens",3,http://web.mta.info/busco/schedules/q025cur.pdf,FAA61A,FFFFFF
Q35,MTABC,Q35,"Rockaway Park - Midwood / Brooklyn Coll.","Via Flatbush Av / Newport Ave",3,http://web.mta.info/busco/schedules/q035cur.pdf,006CB7,FFFFFF
Q37,MTABC,Q37,"Kew Gardens - South Ozone Park","Via 135Th Av / 111St St / Park Ln South",3,http://web.mta.info/busco/schedules/q037cur.pdf,00AEEF,FFFFFF
Q38,MTABC,Q38,"Corona - Rego Park","Via Penelope Av / Eliot Av / Queens Center",3,http://web.mta.info/busco/schedules/q038cur.pdf,EE352E,FFFFFF
Q39,MTABC,Q39,"Long Island City - Ridgewood","Via Forest Av / 58Th St / 48Th Av",3,http://web.mta.info/busco/schedules/q039cur.pdf,B933AD,FFFFFF
Q40,MTABC,Q40,"South Ozone Park - Jamaica","Via 142Nd St / Lakewood Av / Sutphin Blvd",3,http://web.mta.info/busco/schedules/q040cur.pdf,6CBE45,FFFFFF
Q41,MTABC,Q41,"Jamaica - Howard Beach","Via 127 St / 109 Ave / Cross Bay Blvd / Lindenwood",3,http://web.mta.info/busco/schedules/q041cur.pdf,B933AD,FFFFFF
Q47,MTABC,Q47,"Atlas Mall - Lga Marine Air Terminal","Via Atlas Mall / 80Th St / 74Th St Bus Terminal",3,http://web.mta.info/busco/schedules/q047cur.pdf,6CBE45,FFFFFF
Q49,MTABC,Q49,"Jackson Heights - East Elmhurst","Via 35Th Av / 89Th & 92Nd Sts / Astoria Blvd",3,http://web.mta.info/busco/schedules/q049cur.pdf,006CB7,FFFFFF
Q50,MTABC,Q50,"Co-Op City/Pelham Bay - Flushing","Via Linden Pl / Whitestone Expwy / Bruckner Blvd",3,http://web.mta.info/busco/schedules/q050cur.pdf,FAA61A,FFFFFF
Q60,MTABC,Q60,"Queens Blvd. - East Midtown","Via Queens Blvd / Sutphin Blvd",3,http://web.mta.info/busco/schedules/q060cur.pdf,EE352E,FFFFFF
Q64,MTABC,Q64,"Forest Hills - Pomonok","Via Jewel Ave",3,http://web.mta.info/busco/schedules/q064cur.pdf,EE352E,FFFFFF
Q65,MTABC,Q65,"Jamaica - Flushing - College Point","Via 164Th St / College Point Blvd",3,http://web.mta.info/busco/schedules/q065cur.pdf,00AEEF,FFFFFF
