stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
404853,"AMSTERDAM AV/W 161 ST",,  40.835239, -73.940199,,,0,
404949,"AMSTERDAM AV/W 161 ST",,  40.835536, -73.940181,,,0,
405005,"BROADWAY/W 187 ST",,  40.854452, -73.933487,,,0,
405073,"AMSTERDAM AV/W 158 ST",,  40.833638, -73.941374,,,0,
405074,"AMSTERDAM AV/W 152 ST",,  40.829905, -73.944107,,,0,
405078,"AMSTERDAM AV/W 135 ST",,  40.818605, -73.952522,,,0,
405427,"DYCKMAN ST/BROADWAY",,  40.865323, -73.927186,,,0,
405428,"DYCKMAN ST/SHERMAN AV",,  40.863379, -73.925988,,,0,
405429,"DYCKMAN ST/FT. GEORGE HILL",,  40.861291, -73.924650,,,0,
405430,"10 AV/HARLEM RIVER DR",,  40.859553, -73.922400,,,0,
405431,"10 AV/W 202 ST",,  40.861465, -73.921028,,,0,
405432,"10 AV/W 207 ST",,  40.864243, -73.919017,,,0,
405433,"10 AV/SHERMAN AV",,  40.866604, -73.917237,,,0,
405434,"10 AV/W 215 ST",,  40.869287, -73.915263,,,0,
405435,"10 AV/W 214 ST",,  40.869019, -73.915699,,,0,
405436,"10 AV/W 211 ST",,  40.867070, -73.917052,,,0,
405437,"10 AV/W 207 ST",,  40.864759, -73.918751,,,0,
405439,"10 AV/W 202 ST",,  40.861233, -73.921398,,,0,
405440,"DYCKMAN ST/10 AV",,  40.859308, -73.923155,,,0,
405442,"DYCKMAN ST/SHERMAN AV",,  40.863489, -73.925907,,,0,
405589,"DYCKMAN ST/NAGLE AV",,  40.861540, -73.924652,,,0,
802004,"INDEPENDENCE AV/W 237 ST",,  40.888395, -73.913013,,,0,
802008,"BAINBRIDGE AV/E 206 ST",,  40.874888, -73.879409,,,0,
802009,"E 241 ST/CRANFORD AV",,  40.903265, -73.849912,,,0,
802019,"INDEPENDENCE AV/W 237 ST",,  40.888431, -73.912983,,,0,
802021,"BAINBRIDGE AV/E 206 ST",,  40.874442, -73.879381,,,0,
802024,"BAY PLZ BL/BARTOW AV",,  40.867349, -73.824572,,,0,
802025,"BAY PLAZA BL/IFO JC PENNY",,  40.865989, -73.827298,,,0,
802031,"179 ST/BROADWAY",,  40.848902, -73.936861,,,0,
802060,"LANE AV/BENSON AV",,  40.840285, -73.843243,,,0,
802062,"VALENTINE AV/FORDHAM RD",,  40.862502, -73.895797,,,0,
802065,"TREMONT AV/LANE AV",,  40.840268, -73.843224,,,0,
802078,"BAY PLAZA BL/CO-OP CITY BL",,  40.866044, -73.826723,,,0,
802079,"CROTONA AV/TREMONT AV",,  40.845510, -73.890987,,,0,
802080,"CROTONA AV/TREMONT AV",,  40.845322, -73.891254,,,0,
802088,"E 161 ST/SHERMAN AV",,  40.826089, -73.920193,,,0,
802089,"HALLECK ST/SPOFFORD AV",,  40.815140, -73.881866,,,0,
802091,"PROSPECT AV/WESTCHESTER AV",,  40.819383, -73.901827,,,0,
802102,"WALNUT AV/E 133 ST",,  40.799650, -73.911600,,,0,
802104,"E 233 ST/WEBSTER  AV",,  40.895393, -73.863417,,,0,
802106,"BATHGATE AV/E 172 ST",,  40.838568, -73.901769,,,0,
802110,"E 163 ST/INTERVALE AV",,  40.821064, -73.896763,,,0,
802111,"HALLECK ST/SPOFFORD AV",,  40.814388, -73.881454,,,0,
802117,"E 161 ST/RIVER AV",,  40.827546, -73.926228,,,0,
802118,"RESEARCH AV/AMPERE AV",,  40.846008, -73.819252,,,0,
802121,"E 170 ST/GRAND CONCOURSE",,  40.838512, -73.913583,,,0,
