"service_id","date","exception_type"
"F8C8C462","20220106","1"
"F8C8C462","20220107","1"
"F8C8C462","20220110","1"
"F8C8C462","20220111","1"
"F8C8C462","20220112","1"
"F8C8C462","20220113","1"
"F8C8C462","20220114","1"
"F8C8C462","20220117","1"
"F8C8C462","20220118","1"
"F8C8C462","20220119","1"
"F8C8C462","20220120","1"
"F8C8C462","20220121","1"
"F8C8C462","20220124","1"
"F8C8C462","20220125","1"
"F8C8C462","20220126","1"
"F8C8C462","20220127","1"
"F8C8C462","20220128","1"
"F8C8C462","20220131","1"
"F8C8C462","20220201","1"
"F8C8C462","20220202","1"
"F8C8C462","20220203","1"
"F8C8C462","20220204","1"
"F8C8C462","20220207","1"
"F8C8C462","20220208","1"
"F8C8C462","20220209","1"
"F8C8C462","20220210","1"
"F8C8C462","20220211","1"
"F8C8C462","20220214","1"
"F8C8C462","20220215","1"
"F8C8C462","20220216","1"
"F8C8C462","20220217","1"
"F8C8C462","20220218","1"
"F8C8C462","20220222","1"
"F8C8C462","20220223","1"
"F8C8C462","20220224","1"
"F8C8C462","20220225","1"
"F8C8C462","20220228","1"
"F8C8C462","20220301","1"
"F8C8C462","20220302","1"
"F8C8C462","20220303","1"
"F8C8C462","20220304","1"
"F8C8C462","20220307","1"
"F8C8C462","20220308","1"
"F8C8C462","20220309","1"
"F8C8C462","20220310","1"
"F8C8C462","20220311","1"
"F8C8C462","20220314","1"
"F8C8C462","20220315","1"
"F8C8C462","20220316","1"
"F8C8C462","20220317","1"
"F8C8C462","20220318","1"
"AF90E99B","20220108","1"
"AF90E99B","20220109","1"
"AF90E99B","20220115","1"
"AF90E99B","20220116","1"
"AF90E99B","20220122","1"
"AF90E99B","20220123","1"
"AF90E99B","20220129","1"
"AF90E99B","20220130","1"
"AF90E99B","20220205","1"
"AF90E99B","20220206","1"
"AF90E99B","20220212","1"
"AF90E99B","20220213","1"
"AF90E99B","20220219","1"
"AF90E99B","20220220","1"
"AF90E99B","20220221","1"
"AF90E99B","20220226","1"
"AF90E99B","20220227","1"
"AF90E99B","20220305","1"
"AF90E99B","20220306","1"
"AF90E99B","20220312","1"
"AF90E99B","20220313","1"
"AF90E99B","20220319","1"
"AF90E99B","20220320","1"
"5AC48222","20220110","1"
"5AC48222","20220117","1"
"5AC48222","20220124","1"
"5AC48222","20220131","1"
"5AC48222","20220207","1"
"5AC48222","20220214","1"
"5AC48222","20220228","1"
"5AC48222","20220307","1"
"5AC48222","20220314","1"
"AB032D16","20220317","1"
"096B86BA","20220106","1"
"096B86BA","20220107","1"
"096B86BA","20220110","1"
"096B86BA","20220111","1"
"096B86BA","20220112","1"
"096B86BA","20220113","1"
"096B86BA","20220114","1"
"096B86BA","20220117","1"
"096B86BA","20220118","1"
"096B86BA","20220119","1"
"096B86BA","20220120","1"
"096B86BA","20220121","1"
"096B86BA","20220124","1"
"096B86BA","20220125","1"
"096B86BA","20220126","1"
"096B86BA","20220127","1"
"096B86BA","20220128","1"
"096B86BA","20220131","1"
"096B86BA","20220201","1"
"096B86BA","20220202","1"
"096B86BA","20220203","1"
"096B86BA","20220204","1"
"096B86BA","20220207","1"
"096B86BA","20220208","1"
"096B86BA","20220209","1"
"096B86BA","20220210","1"
"096B86BA","20220211","1"
"096B86BA","20220214","1"
"096B86BA","20220215","1"
"096B86BA","20220216","1"
"096B86BA","20220217","1"
"096B86BA","20220218","1"
"096B86BA","20220221","1"
"096B86BA","20220222","1"
"096B86BA","20220223","1"
"096B86BA","20220224","1"
"096B86BA","20220225","1"
"096B86BA","20220228","1"
"096B86BA","20220301","1"
"096B86BA","20220302","1"
"096B86BA","20220303","1"
"096B86BA","20220304","1"
"096B86BA","20220307","1"
"096B86BA","20220308","1"
"096B86BA","20220309","1"
"096B86BA","20220310","1"
"096B86BA","20220311","1"
"096B86BA","20220314","1"
"096B86BA","20220315","1"
"096B86BA","20220316","1"
"096B86BA","20220317","1"
"096B86BA","20220318","1"
"BF41BF91","20220107","1"
"BF41BF91","20220114","1"
"BF41BF91","20220121","1"
"BF41BF91","20220128","1"
"BF41BF91","20220204","1"
"BF41BF91","20220211","1"
"BF41BF91","20220218","1"
"BF41BF91","20220225","1"
"BF41BF91","20220304","1"
"BF41BF91","20220311","1"
"BF41BF91","20220317","1"
"BF41BF91","20220318","1"
"378E145D","20220106","1"
"378E145D","20220107","1"
"378E145D","20220111","1"
"378E145D","20220112","1"
"378E145D","20220113","1"
"378E145D","20220114","1"
"378E145D","20220118","1"
"378E145D","20220119","1"
"378E145D","20220120","1"
"378E145D","20220121","1"
"378E145D","20220125","1"
"378E145D","20220126","1"
"378E145D","20220127","1"
"378E145D","20220128","1"
"378E145D","20220201","1"
"378E145D","20220202","1"
"378E145D","20220203","1"
"378E145D","20220204","1"
