service_id,date,exception_type
AFA21GEN-1037-Sunday-00,20220530,1
AFA21GEN-2048-Sunday-00,20220530,1
AFA21GEN-3041-Sunday-00,20220530,1
AFA21GEN-4049-Sunday-00,20220530,1
AFA21GEN-5048-Sunday-00,20220530,1
AFA21GEN-6030-Sunday-00,20220530,1
AFA21GEN-7025-Sunday-00,20220530,1
BFA21GEN-A053-Sunday-00,20220530,1
BFA21GEN-C027-Sunday-00,20220530,1
BFA21GEN-D042-Sunday-00,20220530,1
BFA21GEN-E046-Sunday-00,20220530,1
BFA21GEN-F048-Sunday-00,20220530,1
BFA21GEN-FS012-Sunday-00,20220530,1
BFA21GEN-G037-Sunday-00,20220530,1
AFA21GEN-GS013-Sunday-00,20220530,1
BFA21GEN-H025-Sunday-00,20220530,1
BFA21GEN-J032-Sunday-00,20220530,1
BFA21GEN-L022-Sunday-00,20220530,1
BFA21GEN-M023-Sunday-00,20220530,1
BFA21GEN-N059-Sunday-00,20220530,1
BFA21GEN-Q023-Sunday-00,20220530,1
BFA21GEN-R050-Sunday-00,20220530,1
SIR-FA2017-SI017-Sunday-00,20220530,1
AFA21GEN-1091-Weekday-00,20211224,2
AFA21GEN-1091-Weekday-00,20211231,2
AFA21GEN-1091-Weekday-00,20220221,2
AFA21GEN-1091-Weekday-00,20220530,2
AFA21GEN-2097-Weekday-00,20211224,2
AFA21GEN-2097-Weekday-00,20211231,2
AFA21GEN-2097-Weekday-00,20220221,2
AFA21GEN-2097-Weekday-00,20220530,2
AFA21GEN-3087-Weekday-00,20211224,2
AFA21GEN-3087-Weekday-00,20211231,2
AFA21GEN-3087-Weekday-00,20220221,2
AFA21GEN-3087-Weekday-00,20220530,2
AFA21GEN-4099-Weekday-00,20211224,2
AFA21GEN-4099-Weekday-00,20211231,2
AFA21GEN-4099-Weekday-00,20220221,2
AFA21GEN-4099-Weekday-00,20220530,2
AFA21GEN-5108-Weekday-00,20211224,2
AFA21GEN-5108-Weekday-00,20211231,2
AFA21GEN-5108-Weekday-00,20220221,2
AFA21GEN-5108-Weekday-00,20220530,2
AFA21GEN-6089-Weekday-00,20211224,2
AFA21GEN-6089-Weekday-00,20211231,2
AFA21GEN-6089-Weekday-00,20220221,2
AFA21GEN-6089-Weekday-00,20220530,2
AFA21GEN-7062-Weekday-00,20211224,2
AFA21GEN-7062-Weekday-00,20211231,2
AFA21GEN-7062-Weekday-00,20220221,2
AFA21GEN-7062-Weekday-00,20220530,2
BFA21GEN-A083-Weekday-00,20211224,2
BFA21GEN-A083-Weekday-00,20211231,2
BFA21GEN-A083-Weekday-00,20220221,2
BFA21GEN-A083-Weekday-00,20220530,2
BFA21GEN-B083-Weekday-00,20211224,2
BFA21GEN-B083-Weekday-00,20211231,2
BFA21GEN-B083-Weekday-00,20220221,2
BFA21GEN-B083-Weekday-00,20220530,2
BFA21GEN-C052-Weekday-00,20211224,2
BFA21GEN-C052-Weekday-00,20211231,2
BFA21GEN-C052-Weekday-00,20220221,2
BFA21GEN-C052-Weekday-00,20220530,2
BFA21GEN-D078-Weekday-00,20211224,2
BFA21GEN-D078-Weekday-00,20211231,2
BFA21GEN-D078-Weekday-00,20220221,2
BFA21GEN-D078-Weekday-00,20220530,2
BFA21GEN-E073-Weekday-00,20211224,2
BFA21GEN-E073-Weekday-00,20211231,2
BFA21GEN-E073-Weekday-00,20220221,2
BFA21GEN-E073-Weekday-00,20220530,2
BFA21GEN-F075-Weekday-00,20211224,2
BFA21GEN-F075-Weekday-00,20211231,2
BFA21GEN-F075-Weekday-00,20220221,2
BFA21GEN-F075-Weekday-00,20220530,2
BFA21GEN-FS011-Weekday-00,20211224,2
BFA21GEN-FS011-Weekday-00,20211231,2
BFA21GEN-FS011-Weekday-00,20220221,2
BFA21GEN-FS011-Weekday-00,20220530,2
BFA21GEN-G052-Weekday-00,20211224,2
BFA21GEN-G052-Weekday-00-0111100,20211224,2
BFA21GEN-G052-Weekday-00,20211231,2
BFA21GEN-G052-Weekday-00-0111100,20211231,2
BFA21GEN-G052-Weekday-00,20220221,2
BFA21GEN-G052-Weekday-00-0111100,20220221,2
BFA21GEN-G052-Weekday-00,20220530,2
BFA21GEN-G052-Weekday-00-0111100,20220530,2
AFA21GEN-GS022-Weekday-00,20211224,2
AFA21GEN-GS022-Weekday-00,20211231,2
AFA21GEN-GS022-Weekday-00,20220221,2
AFA21GEN-GS022-Weekday-00,20220530,2
BFA21GEN-H040-Weekday-00,20211224,2
BFA21GEN-H040-Weekday-00-0111100,20211224,2
BFA21GEN-H040-Weekday-00,20211231,2
BFA21GEN-H040-Weekday-00-0111100,20211231,2
BFA21GEN-H040-Weekday-00,20220221,2
BFA21GEN-H040-Weekday-00-0111100,20220221,2
BFA21GEN-H040-Weekday-00,20220530,2
BFA21GEN-H040-Weekday-00-0111100,20220530,2
BFA21GEN-J052-Weekday-00,20211224,2
BFA21GEN-J052-Weekday-00,20211231,2
BFA21GEN-J052-Weekday-00,20220221,2
BFA21GEN-J052-Weekday-00,20220530,2
BFA21GEN-L045-Weekday-00,20211224,2
BFA21GEN-L045-Weekday-00,20211231,2
BFA21GEN-L045-Weekday-00,20220221,2
BFA21GEN-L045-Weekday-00,20220530,2
BFA21GEN-M089-Weekday-00,20211224,2
BFA21GEN-M089-Weekday-00-0111100,20211224,2
BFA21GEN-M089-Weekday-00,20211231,2
